loading	Gene.name
ENSG00000161267	0.0136357120635322	BDH1
ENSG00000100767	-0.0136302643174678	PAPLN
ENSG00000140534	0.0136290097967352	TICRR
ENSG00000176971	-0.0136288567396963	FIBIN
ENSG00000084623	0.0136282221637714	EIF3I
ENSG00000039560	-0.0136265348977618	RAI14
ENSG00000179477	0.0136262431271239	ALOX12B
ENSG00000198858	0.0136256982872719	R3HDM4
ENSG00000198668	0.0136250199525876	CALM1
ENSG00000196776	0.013624164396897	CD47
ENSG00000121152	0.0136219485719376	NCAPH
ENSG00000011009	0.0136196253850177	LYPLA2
ENSG00000184840	0.0136168991906303	TMED9
ENSG00000124541	0.0136163836115679	RRP36
ENSG00000172183	0.013615979729611	ISG20
ENSG00000196378	-0.0136128587420413	ZNF34
ENSG00000176422	0.0136115925257617	SPRYD4
ENSG00000065675	0.0136111414526694	PRKCQ
ENSG00000163565	0.0136051234858253	IFI16
ENSG00000184731	0.0136036874173817	FAM110C
ENSG00000125912	0.0136032735504061	NCLN
ENSG00000146242	0.0136017767068429	TPBG
ENSG00000175395	-0.0135987028223526	ZNF25
ENSG00000116649	0.0135959242747936	SRM
ENSG00000126391	0.0135950158442688	FRMD8
ENSG00000065000	0.0135945258844288	AP3D1
ENSG00000167972	-0.0135943556044056	ABCA3
ENSG00000148334	0.0135926376601167	PTGES2
ENSG00000059728	0.0135913932317502	MXD1
ENSG00000196805	0.0135909998316732	SPRR2B
ENSG00000145431	-0.0135888381800727	PDGFC
ENSG00000166501	-0.0135888060722652	PRKCB
ENSG00000077152	0.0135886738838826	UBE2T
ENSG00000124942	-0.0135871952267529	AHNAK
ENSG00000213085	0.0135861329415501	CFAP45
ENSG00000114395	0.013583734727489	CYB561D2
ENSG00000142669	0.0135825931382405	SH3BGRL3
ENSG00000172350	0.0135817769999634	ABCG4
ENSG00000175063	0.0135816058184492	UBE2C
ENSG00000123975	0.0135803064549344	CKS2
ENSG00000064666	0.0135799273064592	CNN2
ENSG00000119718	0.0135776820356568	EIF2B2
ENSG00000097021	0.0135733827690574	ACOT7
ENSG00000088002	0.0135729913093091	SULT2B1
ENSG00000101224	0.0135714930381162	CDC25B
ENSG00000157551	0.013569800264211	KCNJ15
ENSG00000167900	0.0135677386437566	TK1
ENSG00000136888	0.0135662351285103	ATP6V1G1
ENSG00000180871	0.0135642617405811	CXCR2
ENSG00000088826	0.0135610769588752	SMOX
ENSG00000062096	0.0135605776388225	ARSF
ENSG00000161921	0.0135596946984191	CXCL16
ENSG00000166348	-0.0135554132539599	USP54
ENSG00000074800	0.0135544469317972	ENO1
ENSG00000106803	0.0135531195483195	SEC61B
ENSG00000170445	0.0135529709229037	HARS1
ENSG00000157456	0.0135523190242984	CCNB2
ENSG00000103647	-0.0135517118524527	CORO2B
ENSG00000171954	0.0135511086328436	CYP4F22
ENSG00000188293	0.0135506140842301	IGFL1
ENSG00000181026	0.0135495395767564	AEN
ENSG00000143772	-0.0135490747242879	ITPKB
ENSG00000156587	0.0135488961618044	UBE2L6
ENSG00000160193	0.0135485838311884	WDR4
ENSG00000175592	0.0135478456147561	FOSL1
ENSG00000183760	0.0135462891149069	ACP7
ENSG00000161654	0.0135415906199202	LSM12
ENSG00000139547	0.0135405625004213	RDH16
ENSG00000134851	0.0135392523112093	TMEM165
ENSG00000166411	0.013538801287081	IDH3A
ENSG00000013810	0.0135383193171216	TACC3
ENSG00000203685	-0.013536646552563	STUM
ENSG00000049768	0.0135335793273944	FOXP3
ENSG00000135451	0.0135332315661893	TROAP
ENSG00000142224	0.0135320603539675	IL19
ENSG00000198270	-0.0135275952891132	TMEM116
ENSG00000029993	0.0135268866879493	HMGB3
ENSG00000139629	0.013526874272761	GALNT6
ENSG00000139597	-0.0135267106406456	N4BP2L1
ENSG00000030110	0.0135252374774538	BAK1
ENSG00000141098	0.013523243805133	GFOD2
ENSG00000196507	-0.0135232166029102	TCEAL3
ENSG00000137692	0.0135217345018853	DCUN1D5
ENSG00000113356	0.0135177409529847	POLR3G
ENSG00000241286	0.0135167885360337	RPL29P25
ENSG00000119686	0.0135158595050318	FLVCR2
ENSG00000154359	-0.0135088738371693	LONRF1
ENSG00000163412	-0.013507546762657	EIF4E3
ENSG00000103479	-0.0135074099509398	RBL2
ENSG00000102144	0.0135052548766189	PGK1
